Molecules Remaining,Time needed (s),Total Time passed (min),Predicted Time Left (min)
3000.0,80.8002768,-80.85634519999999,2020.01
2999.0,78.66588349999999,-159.52846089999997,1992.33
2998.0,85.659366,-245.1948408,2090.37
2997.0,93.62576610000002,-338.8264438,2275.97
2996.0,87.85490399999998,-426.68813520000003,2209.65
2995.0,76.53898980000002,-503.2305194,1959.93
2994.0,72.9220752,-576.1591970999999,1839.29
2993.0,77.9304568,-654.0937922999999,1930.51
2992.0,67.41998990000002,-721.5176127,1708.58
2991.0,61.07921539999995,-782.6044817,1540.9
2990.0,61.27848770000003,-843.8864281,1528.04
2989.0,61.199586299999964,-905.0918373999999,1524.6
2988.0,62.08250970000006,-967.1786933999999,1544.14
2987.0,58.756427500000086,-1025.9435413,1468.3
2986.0,57.43148120000001,-1083.3795949,1431.64
2985.0,56.33642080000004,-1139.7200196000001,1403.2
2984.0,56.45294169999988,-1196.1777311,1403.71
2983.0,56.378377699999874,-1252.559909,1401.54
2982.0,56.8798311999999,-1309.4434427,1412.79
2981.0,56.19399529999987,-1365.6410175,1396.75
2980.0,56.343368300000066,-1421.9879834,1399.03
2979.0,56.109223000000156,-1478.1008424000001,1393.15
2978.0,56.24830789999987,-1534.3544323,1395.74
2977.0,55.87168420000012,-1590.230859,1386.45
2976.0,56.00810739999997,-1646.2424885,1388.86
2975.0,56.481985299999906,-1702.7285035,1399.81
2974.0,56.30901410000001,-1759.0423419,1395.65
2973.0,56.164914299999964,-1815.2108439,1391.6
2972.0,56.6368159000001,-1871.8530588,1402.29
2971.0,55.937352000000146,-1927.7940208,1385.46
2970.0,55.88417070000014,-1983.6875143,1383.18
2969.0,56.34804030000009,-2040.0391932,1393.77
2968.0,55.88419419999991,-2095.9272579999997,1382.52
2967.0,55.675111200000174,-2151.6083011,1376.71
2966.0,55.83110739999984,-2207.4444608,1379.84
2965.0,55.676933499999905,-2263.125784,1375.77
2964.0,55.81265549999989,-2318.9435028999997,1378.47
2963.0,56.128593999999794,-2375.0757988,1385.69
2962.0,55.75831769999968,-2430.8388359,1376.52
2961.0,55.64139299999988,-2486.4837992999996,1373.02
2960.0,55.47976619999963,-2541.9670963999997,1368.59
2959.0,55.93194769999991,-2597.9031978999997,1378.91
2958.0,55.55463980000013,-2653.4615188999996,1369.62
2957.0,55.691094599999815,-2709.1562414,1372.24
2956.0,56.81272279999985,-2765.9738368,1398.86
2955.0,55.37817529999984,-2821.3556968,1364.43
2954.0,55.396664399999736,-2876.7568631999998,1363.68
2953.0,55.96543819999988,-2932.7260721999996,1376.91
2952.0,58.60697769999979,-2991.3367117999996,1440.39
2951.0,56.63797419999992,-3047.9800634999997,1393.75
2950.0,55.725905799999964,-3103.7112466999997,1370.38
2949.0,55.40993810000009,-3159.1270175,1361.85
2948.0,55.99414210000032,-3215.1254104,1375.31
2947.0,56.041686500000196,-3271.1729253,1376.26
2946.0,55.40179719999969,-3326.5784672,1360.39
2945.0,55.392350100000385,-3381.9745929,1359.42
2944.0,55.670153599999594,-3437.6487947,1365.65
2943.0,55.3942490999998,-3493.0466948999997,1358.65
2942.0,55.49767380000003,-3548.5502539,1360.57
2941.0,55.56152460000021,-3604.1163272999997,1361.69
2940.0,61.144183599999906,-3665.2642619999997,1495.78
2939.0,55.22727300000042,-3720.4967217,1354.9
2938.0,55.26981360000036,-3775.7757655,1353.2
2937.0,57.42786419999993,-3833.2073099,1404.71
2936.0,55.744810700000016,-3888.9571779,1364.5
2935.0,55.15051119999998,-3944.1114585,1349.11
2934.0,55.15575369999988,-3999.2728500999997,1348.55
2933.0,54.87555659999998,-4054.1526599999997,1341.34
2932.0,55.715310500000214,-4109.8717676,1361.01
2931.0,54.913656300000184,-4164.7928792,1341.53
2930.0,55.56744040000012,-4220.3645219,1356.54
2929.0,54.76204140000027,-4275.1303167999995,1336.91
2928.0,54.77506540000013,-4329.9109748,1336.5
2927.0,56.764680500000395,-4386.679486,1383.92
2926.0,55.35908979999931,-4442.0424136,1350.28
2925.0,54.948543500000596,-4496.9958793999995,1339.5
2924.0,54.92955829999937,-4551.9293614,1338.45
2923.0,55.6251943999996,-4607.5584192,1354.71
2922.0,54.93849239999963,-4662.500788599999,1337.96
2921.0,54.6638411999993,-4717.1685198,1330.69
2920.0,55.77679420000004,-4772.9491204999995,1356.9
2919.0,56.04858090000016,-4829.0017863,1363.29
2918.0,54.68085350000001,-4883.6865308999995,1330.05
2917.0,54.572439499999746,-4938.2665356,1326.6
2916.0,54.43735940000079,-4992.7078339,1322.86
2915.0,55.44721450000088,-5048.1590309,1346.62
2914.0,55.09984589999931,-5103.2639349,1338.1
2913.0,54.92192929999965,-5158.1899611,1333.27
2912.0,54.8330519000001,-5213.0304219,1330.63
2911.0,54.36353910000071,-5267.3994998,1318.89
2910.0,55.003477099999145,-5322.408646,1333.66
2909.0,54.45757289999983,-5376.8720803999995,1320.28
2908.0,54.72163339999952,-5431.5976783,1326.02
2907.0,55.32433559999936,-5486.9259698,1340.07
2906.0,54.46861119999994,-5541.3985118,1319.26
2905.0,54.62241069999982,-5596.024890799999,1322.28
2904.0,54.573328700000275,-5650.6031142,1320.68
2903.0,54.78378890000022,-5705.3909617,1325.25
2902.0,54.35259959999985,-5759.7476778,1314.53
2901.0,54.6865401999994,-5814.4383714,1321.96
2900.0,54.20382619999964,-5868.6474624,1310.04
2899.0,54.22687219999989,-5922.8795689,1310.02
2898.0,54.14368319999994,-5977.0272364,1307.58
2897.0,54.33854640000027,-6031.3707583,1311.77
2896.0,54.35213709999971,-6085.7306553,1311.69
2895.0,53.962987600000815,-6139.6976229,1301.94
2894.0,54.071086599999944,-6193.7756164,1303.99
2893.0,54.12553670000034,-6247.9071996,1304.86
2892.0,54.49818950000008,-6302.4095092,1313.32
2891.0,54.17762849999963,-6356.5922837,1305.29
2890.0,55.15946790000089,-6411.7581166,1328.21
2889.0,54.557064999999966,-6466.3196882,1313.58
2888.0,54.27413539999998,-6520.5978783,1306.25
2887.0,54.18500119999953,-6574.7889967,1303.62
2886.0,54.215211499999896,-6629.008323999999,1303.87
2885.0,54.086434499999996,-6683.0988560999995,1300.35
2884.0,53.90921639999942,-6737.0132879,1295.65
2883.0,53.904765500000394,-6790.9222991999995,1295.06
2882.0,54.789768800000274,-6845.7169191,1315.69
2881.0,53.94693630000074,-6899.6699258,1295.34
2880.0,53.90392799999972,-6953.5800223,1293.7
2879.0,53.8493712999998,-7007.4356041,1291.94
2878.0,53.66140259999975,-7061.1015494,1287.01
2877.0,53.5524161000003,-7114.6589327,1283.94
2876.0,53.72438489999968,-7168.3892838,1287.56
2875.0,53.79616859999987,-7222.1940978,1288.85
2874.0,58.6234457999999,-7280.8216728,1403.12
2873.0,54.04728889999933,-7334.8746187,1294.83
2872.0,53.51288999999997,-7388.3930761,1280.84
2871.0,54.2694148999999,-7442.6690911,1298.25
2870.0,54.88352000000032,-7497.5569453,1312.51
2869.0,53.79593440000008,-7551.3571526999995,1286.36
2868.0,53.49681260000034,-7604.8604686,1278.63
2867.0,53.639156500000354,-7658.5039261,1281.5
2866.0,54.02513649999946,-7712.5333132999995,1290.23
2865.0,53.92855140000029,-7766.4669667,1287.56
2864.0,53.479911399999764,-7819.9513183,1276.46
2863.0,53.67958670000007,-7873.6351632,1280.67
2862.0,53.68591379999998,-7927.3254417,1280.4
2861.0,53.922743699999955,-7981.252485,1285.56
2860.0,53.44749780000075,-8034.7042515,1273.91
2859.0,53.65988610000022,-8088.3684836,1278.41
2858.0,54.27547729999969,-8142.648344,1292.56
2857.0,54.526388500000394,-8197.179004900001,1298.14
2856.0,53.53896109999914,-8250.722268000001,1274.39
2855.0,53.54730530000052,-8304.274549000002,1273.98
2854.0,53.60732879999887,-8357.886165,1274.95
2853.0,53.63133689999995,-8411.5220088,1275.08
2852.0,53.07066540000051,-8464.599132500001,1261.4
2851.0,54.04659299999912,-8518.6506523,1283.9
2850.0,53.741319400000066,-8572.3962716,1276.4
2849.0,54.18880779999927,-8626.589677400001,1286.46
2848.0,53.11797680000018,-8679.7119239,1260.83
2847.0,53.640736900000775,-8733.356991600001,1272.54
2846.0,53.342417699999714,-8786.703753200001,1265.15
2845.0,53.837058299999626,-8840.5452315,1276.31
2844.0,66.46872280000025,-8907.021555500001,1573.4
2843.0,53.7240898,-8960.750151600001,1274.71
2842.0,53.78561810000065,-9014.540130700001,1273.82
2841.0,53.232974900000045,-9067.7775559,1260.37
2840.0,53.58353290000014,-9121.366105500001,1268.09
2839.0,52.92085920000136,-9174.2914368,1252.11
2838.0,52.858569899999566,-9227.155305900002,1250.11
2837.0,54.62209079999957,-9281.7817137,1291.1
2836.0,52.91236679999929,-9334.698610500001,1250.74
2835.0,52.660791600001176,-9387.3638429,1244.15
2834.0,52.84155809999902,-9440.209723,1247.91
2833.0,52.67859189999945,-9492.8927031,1243.67
2832.0,53.81773669999893,-9546.7150213,1269.94
2831.0,52.55530749999889,-9599.2760653,1240.04
2830.0,52.96443480000016,-9652.2463358,1249.02
2829.0,52.63116770000124,-9704.882239300001,1240.82
2828.0,52.73085379999975,-9757.617618600001,1242.67
2827.0,52.61478850000094,-9810.2368979,1239.53
2826.0,53.20424129999992,-9863.445670000001,1252.88
2825.0,52.65757379999923,-9916.1077704,1239.72
2824.0,52.73021240000162,-9968.842566000001,1240.91
2823.0,53.64447889999974,-10022.4917122,1261.86
2822.0,52.449740799998835,-10074.9459625,1233.6
2821.0,53.00250950000009,-10127.9530766,1245.93
2820.0,53.93961130000025,-10181.897287400001,1267.46
2819.0,52.59318460000031,-10234.4950112,1235.67
2818.0,52.70442689999982,-10287.2054263,1237.66
2817.0,52.62384329999986,-10339.835985900001,1235.35
2816.0,52.446603600001254,-10392.287162100001,1230.77
2815.0,53.81779950000055,-10446.1095759,1262.3
2814.0,52.773349200000666,-10498.887697400001,1237.66
2813.0,52.641933799999606,-10551.534326,1234.03
2812.0,67.13673800000106,-10618.6756578,1571.44
2811.0,68.20749140000044,-10686.888701400001,1597.62
2810.0,82.63031339999907,-10769.5238092,1933.15
2809.0,76.79107330000079,-10846.3295505,1798.25
2808.0,76.08667199999945,-10922.423778800001,1780.51
2807.0,66.66339479999988,-10989.091929,1560.5
2806.0,73.79655869999988,-11062.8953161,1724.76
2805.0,65.84897689999889,-11128.7505091,1540.16
2804.0,65.59887549999985,-11194.3555477,1532.86
2803.0,70.49850289999995,-11264.860824000001,1646.15
2802.0,68.45334299999922,-11333.3189442,1598.62
2801.0,65.4736198999999,-11398.7974314,1528.61
2800.0,58.20509740000125,-11457.007239600001,1358.96
2799.0,57.66147170000113,-11514.673552100001,1345.02
2798.0,58.83715990000019,-11573.5156793,1371.75
2797.0,58.22968220000075,-11631.750163600002,1357.3
2796.0,60.998638900000515,-11692.757296000002,1420.95
2795.0,58.58846959999937,-11751.350674500001,1364.89
2794.0,58.011038099999496,-11809.366488900001,1350.75
2793.0,57.82469879999917,-11867.1959774,1345.89
2792.0,57.28907230000004,-11924.489988000001,1332.98
2791.0,57.229784799999834,-11981.724708700001,1331.07
2790.0,57.58946500000093,-12039.3189002,1338.91
2789.0,58.03900600000088,-12097.363011700001,1348.87
2788.0,58.621761100001095,-12155.9897084,1361.91
2787.0,59.29699719999917,-12215.2914246,1377.1
2786.0,57.8380416,-12273.1342616,1342.96
2785.0,57.82596989999911,-12330.966204100001,1342.04
2784.0,57.45483439999953,-12388.426975100001,1332.99
2783.0,57.91577839999991,-12446.3477236,1343.11
2782.0,57.500619799999185,-12503.855460100001,1333.1
2781.0,58.833529100000305,-12562.6938217,1363.32
2780.0,58.418560799998886,-12621.117425100001,1353.4
2779.0,60.33213020000039,-12681.454360900001,1396.99
2778.0,70.43272490000163,-12751.8949733,1629.47
2777.0,60.74971709999954,-12812.654063,1406.84
2776.0,61.16527429999951,-12873.825842900002,1414.92
2775.0,61.9308817000001,-12935.7628203,1432.07
2774.0,59.03773159999946,-12994.8073052,1365.05
2773.0,58.394210600001315,-13053.206200800001,1349.46
2772.0,59.254082800000106,-13112.468826100001,1368.68
2771.0,58.59147920000032,-13171.066490000001,1353.04
2770.0,57.438993499999924,-13228.510873700001,1326.0
2769.0,57.7473958999999,-13286.2632488,1332.49
2768.0,59.30873829999837,-13345.5768038,1367.9
2767.0,57.81396989999848,-13403.396877700001,1333.24
2766.0,56.99534010000025,-13460.397193,1313.82
2765.0,58.81370020000031,-13519.2160745,1354.99
2764.0,57.77109820000078,-13576.9922365,1330.76
2763.0,58.517293699998845,-13635.514573400002,1347.29
2762.0,58.199551800000336,-13693.7206745,1339.59
2761.0,58.12005019999924,-13751.845513600001,1337.25
2760.0,58.851251299998694,-13810.7034356,1353.51
2759.0,57.684451300001456,-13868.3942446,1326.37
2758.0,57.227040300000226,-13925.6263676,1315.31
2757.0,58.237745899999936,-13983.869082300002,1337.92
2756.0,58.69376349999948,-14042.567732000001,1347.95
2755.0,58.35875800000031,-14100.931279600001,1339.85
2754.0,56.64839440000105,-14157.5854579,1300.24
2753.0,58.26524360000076,-14215.855625600001,1336.55
2752.0,58.22170929999993,-14274.082307800001,1335.22
2751.0,57.29963560000033,-14331.3899089,1313.68
2750.0,57.30331330000081,-14388.6983959,1313.2
2749.0,57.30104990000109,-14446.0047154,1312.67
2748.0,57.33111370000006,-14503.341202900001,1312.88
2747.0,61.19591860000037,-14564.5422818,1400.53
2746.0,57.52243379999891,-14622.069971100002,1316.63
2745.0,56.95106670000132,-14679.027048700002,1302.81
2744.0,57.5972458999986,-14736.6306009,1317.0
2743.0,57.471849499999735,-14794.1083908,1313.72
2742.0,56.75704990000122,-14850.870677100002,1296.96
2741.0,58.25139390000004,-14909.1272716,1330.43
2740.0,57.74620329999925,-14966.8824353,1318.58
2739.0,57.29155130000072,-15024.179267900001,1307.72
2738.0,57.21873520000008,-15081.4030007,1305.55
2737.0,67.91329700000097,-15149.321323600001,1548.06
2736.0,70.85109000000011,-15220.1784466,1615.15
2735.0,70.76305219999995,-15290.947086200002,1612.81
2734.0,74.18726179999976,-15365.139725,1689.94
2733.0,62.03612520000024,-15427.1834973,1413.9
2732.0,65.67794680000043,-15492.8668376,1494.96
2731.0,85.7973662000004,-15578.6695595,1950.91
2730.0,77.52130829999987,-15656.198843,1764.3
2729.0,74.90508739999859,-15731.109688100001,1703.69
2728.0,70.62735440000142,-15801.743045300002,1605.95
2727.0,67.90587969999979,-15869.6547183,1543.39
2726.0,82.12829990000137,-15951.788595400001,1864.51
2725.0,119.0448421000001,-16070.844621400001,2700.27
2724.0,119.5179547000007,-16190.3749453,2713.0
2723.0,106.3874526999989,-16296.771131000001,2415.18
2722.0,100.85226429999966,-16397.6320217,2288.12
2721.0,99.125307899998,-16496.7660299,2247.8
2720.0,95.6044937000006,-16592.379326000002,2167.32
2719.0,80.15310939999836,-16672.5463279,1817.38
2718.0,84.2045681999989,-16756.769874600002,1906.91
2717.0,84.78276859999824,-16841.5619209,1919.57
2716.0,79.57139820000157,-16921.142171400003,1801.38
2715.0,61.76482250000117,-16982.9203295,1398.84
2714.0,57.3850867000001,-17040.3143682,1298.21
2713.0,62.08578960000159,-17102.4102926,1403.29
2712.0,67.48593339999934,-17169.9042486,1524.76
2711.0,57.33581719999711,-17227.2478492,1296.1
2710.0,68.27569210000001,-17295.5316933,1541.04
2709.0,59.70779380000022,-17355.249423,1348.56
2708.0,57.15844870000001,-17412.4166243,1290.07
2707.0,61.096209800001816,-17473.521943800002,1377.93
2706.0,57.87079420000009,-17531.4005315,1305.23
2705.0,57.090303299999505,-17588.4966055,1286.97
2704.0,60.22491020000234,-17648.7300971,1356.83
2703.0,57.71906879999733,-17706.4555377,1300.31
