fragment,number_of_rel,sum_difficulty,avg_difficulty
ccCC,7153,6562.167336531538,0.9174007180947209
ccO,7153,5821.340190102071,0.8138319851953125
CCCN,7120,5960.5486821233335,0.8371557137813671
cccO,6681,5360.378410359168,0.8023317482950408
ccc<-X>cc,6539,5312.851876966213,0.8124869057908263
cccc<-X>,6499,5264.391215843518,0.8100309610468561
cccc<-X>c,6344,5240.707420594301,0.8260888115690891
CC<=O>N,6293,4690.486289828981,0.7453497997503545
cccCC,6252,5687.946930835798,0.9097803792123798
ccccN,6030,4889.781876919387,0.8109091006499813
C<=O>O,5996,4734.046211948727,0.7895340580301413
ccC<=O>,5899,4035.7709727160623,0.6841449351951284
cC,5820,4561.719400192443,0.7838005842255056
cc(c)CC,5776,5404.029182759178,0.9356006202837912
CC<=O>,5770,4588.586280356963,0.7952489220722638
cc(c)O,5741,4613.606567729319,0.8036242061886987
CCNCC,5727,4741.537792901369,0.8279269762356154
ccccn,5697,4049.7702711198963,0.7108601493979105
CCc,5678,5031.89288128656,0.8862086793389503
ccc(c)O,5537,4413.671652631479,0.797123289259794
cccnc,5509,3966.515065211211,0.7200063650773664
CNC<=O>,5500,3804.8592966822457,0.691792599396772
Cn,5439,3788.3109179114203,0.6965087181304321
cccC<=O>,5387,3626.908608048612,0.6732705788098408
ncn,5336,3814.5172460239783,0.714864551353819
CC<-O>,5276,4098.767874742149,0.7768703325894899
CCNC<=O>,5186,4071.8237855080606,0.7851569196891748
C=C,5128,4359.201203083344,0.8500782377307613
ccccO,5026,3898.7769169408443,0.7757216309074502
CC(C)C,4996,4946.936921153623,0.990179527853007
CN(C)C,4918,4058.3955528176853,0.8252125971569104
c<-X>cccc,4880,4252.345296603473,0.8713822329105477
C<=O>C,4809,3602.06166381425,0.7490250912485444
cnC,4801,3347.5699879357608,0.697265150580246
CCCO,4716,4226.949790770388,0.89629978599881
cc(c)C<=O>,4670,3089.1771689336792,0.6614940404568906
ccc(c)C<=O>,4521,2981.7357065630595,0.6595301275299844
cncn,4449,3164.4737529436975,0.7112775349390195
CCN(C)C,4388,3517.982389445648,0.8017279830094913
CCCCN,4338,3823.170808905194,0.8813210716701692
COC,4318,3346.5458397123143,0.7750221953942368
ccNC,4309,3251.193516019111,0.754512303555143
CCCNC,4259,3632.8998443165938,0.8529936239297004
C<=O>c,4248,2964.8361591494286,0.6979369489523137
ccccC<=O>,4227,2879.3675414705144,0.6811846561321302
CCC(C)C,4122,4050.8091169886357,0.9827290434227646
ccNC<=O>,4030,2991.5334775008523,0.7423159993798641
CCC<=O>,3985,3274.586422368308,0.8217280859142554
cccNC<=O>,3923,2906.1405049136647,0.7407954384179619
ccncc,3917,2810.372162042323,0.7174807664136643
ccOC,3831,2975.123949551082,0.7765919993607627
c<-OMe>c,3826,2571.1469305870046,0.6720195845757984
C=CC,3778,3409.9587700020156,0.9025830518798348
cccNC,3755,2887.193342197172,0.7688930338740805
c-c,3746,3198.4660458984913,0.8538350362782945
Ccn,3711,2440.650598774775,0.6576800320061372
CC<=O>NC,3693,2911.9229048189563,0.7884979433574212
cc-c,3685,3118.4440785204156,0.8462534812809812
CCOC,3656,2788.575675870594,0.762739517470075
cccOC,3627,2809.3489094033057,0.7745654561354579
CCC<=O>N,3601,2818.3007948457753,0.7826439308097126
nccn,3567,2525.110243297494,0.7079086748801497
cc(c)NC<=O>,3561,2542.06346169515,0.7138622470359871
c<-OMe>cc,3559,2368.2070647509295,0.6654136175192271
cc<-O>,3533,3034.7765196569544,0.8589800508511051
C<=O>NC,3481,2816.191299655511,0.809017897057027
cc(c)c,3464,3037.620865205311,0.8769113352209328
ccc(c)c,3463,3037.4628652053107,0.877118933065351
ccCCC,3441,3357.616095017297,0.975767537058209
ccnC,3389,2464.724794312838,0.7272719959612978
cc<-NO2>,3347,2364.76637230941,0.7065331258767285
ccc-c,3294,2815.9561166344033,0.8548743523480277
cc<-OMe>c,3267,2205.4685284320185,0.675074541913688
CC<-O>C,3196,2456.7906665276655,0.7687079682502083
c<-OMe>ccc,3187,2144.132529788413,0.6727745622178893
CCOC<=O>,3165,2783.6186491907206,0.8795003630934346
cc(c)OC,3128,2442.480682622437,0.7808442079995004
CCNc,3098,2700.103388899885,0.8715633921561927
ccncn,3061,2147.0407417064775,0.7014180796166212
cc(c)n,3031,2286.994163771174,0.7545345311023339
CCCCO,3016,2812.339124387092,0.9324731844784787
ccc<-O>,2999,2617.4592370914092,0.8727773381431841
c<-X>ccc,2992,2800.944993670231,0.9361447171357723
nn,2955,1982.811276720418,0.6710021241016643
cc<-O>c,2950,2534.7445689233873,0.8592354470926736
cc<-NO2>c,2938,2216.8129512015785,0.7545312972095229
C=N,2924,1800.0374470915554,0.6156078820422556
cncnc,2919,2124.3612844623003,0.7277702242077082
CC(C)O,2918,2446.022153211769,0.8382529654598249
ccc<-OMe>c,2918,1951.8610819124103,0.6689037292366039
C<-O>CO,2902,2195.2739732901664,0.7564693222915804
C<=O>CN,2900,2308.5576795672987,0.7960543722645858
c<-X>cc,2885,2828.7564152628624,0.9805048233146837
c<-X>c,2882,2814.879699050355,0.9767105132027603
cncC,2872,1916.3695436345297,0.667259590401995
cC<=O>N,2827,1943.2095371808443,0.6873751458015014
ccc(c)n,2800,2121.560846272258,0.7577003022400921
CNc,2797,2259.6731373247017,0.8078917187431898
c<-OMe>cccc,2769,1877.8785306062998,0.6781793176620801
cnn,2765,1876.5868791264306,0.6786932655068465
C<=O>Nc,2764,2082.5424216332103,0.7534523956704813
CCCC<=O>,2729,2241.7811553242973,0.8214661617164886
CCCc,2718,2652.108494163463,0.9757573562043647
CCCNC<=O>,2715,2235.858090084127,0.8235204751691075
cc(c)-c,2713,2307.9219056643997,0.8506899762861776
cc(c)NC,2704,2128.8964278349354,0.7873137676904347
ccc(c)-c,2657,2233.338138297898,0.8405487912299201
ccc<-NO2>,2632,1824.556372351177,0.6932205062124532
CC(C)N,2626,2177.3137158088475,0.8291369824100714
c<-X>cc<-X>,2623,2858.9195936055753,1.0899426586372762
CCOCC,2623,1965.540603736407,0.7493483048937885
C=CCC,2606,2493.4829173503817,0.9568238362818042
Cncn,2584,1719.6041354086767,0.6654814765513455
ccc<-OMe>cc,2577,1743.5940982568397,0.6765984083262863
CC<=O>O,2573,2284.142257957899,0.8877350400147295
ccC<=O>N,2558,1675.3062823303455,0.6549281791752719
CCn,2557,1799.0660849852945,0.7035847027709404
Cccn,2557,1761.654815563232,0.6889537800403723
C<=O>OC,2550,2170.987086720011,0.8513674849882397
cccc<-OMe>c,2548,1667.9893224412356,0.6546268926378476
C<=O>CC,2521,2013.3093173178643,0.7986153579206126
cS(<=O>)<=O>,2521,1575.122095150085,0.6248005137445796
ccc<-NO2>c,2504,1831.396761458475,0.7313884830105731
ccS(<=O>)<=O>,2497,1557.9325224245054,0.6239217150278356
C=CC<=O>,2482,1868.4186569999467,0.7527875330378512
ccc<-O>c,2469,2126.783124953788,0.861394542306111
ccNCC,2446,2071.0351054463545,0.8467028231587712
ccccc<-X>,2444,1797.0288664637235,0.735281860255206
cNC,2432,1822.30318695937,0.7493022972694777
NCCN,2423,1842.5802737785393,0.7604540956576721
CCC<-O>,2389,1910.4785788591955,0.7996980238004167
cnccn,2379,1724.9060835891519,0.7250551002896813
cccS(<=O>)<=O>,2345,1470.6330490806436,0.6271356286058182
cccc<-NO2>,2344,1619.350295350717,0.6908491021120806
cccc<-O>,2335,1979.0424577386489,0.8475556564191216
COc,2308,1734.3702989865928,0.7514602681917647
cccc-c,2306,1995.5059751872484,0.8653538487368814
CC<=O>OC,2300,2021.5264488572411,0.8789245429814092
ncN,2295,1718.51655351442,0.7488089557797036
cCN,2264,1626.4662372721566,0.7184038150495391
cc(c)S(<=O>)<=O>,2259,1414.3250769092792,0.6260845847318633
cccC<=O>N,2254,1392.9939747269398,0.6180097492133717
ccc<-O>cc,2251,1973.2201922233958,0.8765971533644583
cc-cc,2225,2004.7213494476025,0.9009983593022932
CCOc,2204,1857.9826170227363,0.8430048171609511
c<-X>c<-X>,2191,2443.6187467308523,1.1152983782432004
cncnC,2189,1432.3224459457947,0.6543272937166719
C<-O>CN,2188,1731.895422232353,0.7915426975467792
co,2174,1526.542259289513,0.7021813520190952
cc-ccc,2172,1930.6150625748903,0.8888651300989366
ccOCC,2169,1821.0058567151593,0.8395600999147806
CccC,2160,1826.4806801172415,0.8455929074616859
cs,2157,1643.257801991281,0.7618255920219198
c<-N>n,2149,1414.150408336412,0.6580504459452825
cc(C)n,2142,1484.0267787473265,0.692822959265792
CNCCN,2140,1634.0060927980683,0.76355424897106
NCCO,2138,1508.8590794713475,0.7057339005946434
cnCC,2130,1486.3961803523728,0.6978385823250577
ccCN,2124,1514.4064319401434,0.7129973785028924
ccc(c)S(<=O>)<=O>,2117,1329.748781204471,0.6281288527182196
cCc,2105,1658.7952156384006,0.7880262307070787
ccCc,2097,1646.0210939809754,0.7849409127234026
cccc<-NO2>c,2096,1547.7655274649985,0.7384377516531482
CCCC<=O>N,2082,1713.60501205971,0.8230571623725792
CS,2068,1558.140224709643,0.7534527198789376
cCC,2064,1924.412686723417,0.9323704877535935
cccCN,2057,1459.0683921453249,0.7093186155300558
cco,2024,1430.344655823509,0.7066920236282158
ccc<-NO2>cc,1972,1402.929897797692,0.7114248974633327
cc<-X>c<-X>,1965,2208.4246787202474,1.1238802436235356
NC<=O>N,1964,1415.9876707692142,0.7209713191289278
C<-O>COC,1958,1556.0027175787577,0.7946898455458415
cC<=O>,1955,1369.093363322154,0.700303510650718
cc(c)Cc,1945,1504.2701129785348,0.7734036570583727
c<-N>c,1933,1373.8204973144414,0.7107193467741548
ccCcc,1932,1525.6687842733575,0.7896836357522554
cccc<-O>c,1928,1629.5502352511962,0.8452024041759316
C=CCCC,1926,1892.6141894792968,0.9826657266247647
cc(c)C<=O>N,1917,1175.3464866478052,0.6131176247510721
COC<=O>,1893,1479.7599148976203,0.7817009587414793
c[nH],1887,1447.4112839672418,0.7670436057060105
CCCOC<=O>,1880,1837.0881345813589,0.9771745396709356
cc-c(c)c,1877,1645.1433425310752,0.8764748761486815
ccs,1857,1435.3912332243153,0.772962430384661
CCC<=O>NC,1849,1624.0871854046131,0.8783597541398664
c<-X>cccc<-X>,1840,1918.728030706689,1.0427869732101571
cnc(c)c,1840,1453.1222542467153,0.789740355568867
cc(c)CN,1839,1307.5434429346305,0.7110078536893043
cn(c)C,1828,1321.06723647299,0.7226844838473687
cccCc,1818,1429.3450428540789,0.7862183954092843
Cnccn,1816,1201.4633632710008,0.6615987683210357
cCO,1810,1385.8373097663834,0.7656559722466206
cc<=O>,1794,1252.2013000335558,0.6979940356931749
CC<=O>Nc,1789,1254.988665045174,0.7015028871130095
CNCCO,1784,1279.0152217849206,0.7169367835117268
NS(<=O>)<=O>,1782,1193.5491578224862,0.6697806721787241
ccn(c)C,1775,1287.7115709221293,0.725471307561763
ccCO,1773,1349.7823330708807,0.7612985522114386
ccco,1770,1265.088767521626,0.7147394166788849
CCC<-O>C,1769,1415.3282647457606,0.8000725069224198
NC<=O>O,1748,1176.1101180837609,0.6728318753339593
ccNC<=O>C,1746,1217.9412426971103,0.6975608491965122
ncncn,1740,1318.1251962316553,0.7575432162250892
ccc<=O>,1735,1169.2764701019405,0.6739345649002539
cc<-X>cc<-X>,1693,1713.050681663916,1.0118432850938666
c<=O>n,1691,1271.7421596048725,0.7520651446510187
CCC<=O>O,1683,1596.4749808307104,0.9485888180812302
cnc(c)C,1666,1181.3215976227102,0.7090765892093098
ccncC,1666,1095.6026287246777,0.657624627085641
cccCO,1665,1282.5431571174856,0.7702961904609523
cc<-X>cc<-X>c,1661,1688.9945869099806,1.0168540559361714
cS(<=O>)<=O>N,1661,1104.2118196610945,0.6647873688507493
C<=O>CNC<=O>,1659,1493.667655161124,0.9003421670651742
C<-O>C,1655,1176.1121612814522,0.7106417892939288
CCC(C)O,1649,1542.1993488273333,0.9352330799438043
ccc<-X>cc<-X>,1648,1647.6193765982136,0.9997690391979451
ccS(<=O>)<=O>N,1637,1087.0222469355156,0.6640331380180303
CCCCC<=O>,1632,1461.5711361197716,0.8955705490929973
NCC<=O>N,1626,1274.6786750431352,0.7839352245037732
cncN,1626,1261.9841207361444,0.7761279955326842
ccC(C)C,1623,1837.4705065636804,1.132144489564806
CCC<-O>CC,1619,1174.1484554949475,0.7252306704724815
ccc<-X>c<-X>,1616,1804.8887865782185,1.1168866253578085
CCCOC,1607,1266.7908266561017,0.788295473961482
cOC,1606,1313.4538268850936,0.8178417352958242
NN,1606,1307.0493878874224,0.8138539152474611
CCCC<-O>,1589,1274.4674963799314,0.8020563224543307
cc[nH],1577,1210.4300680686404,0.7675523576846166
cc(n)n,1571,1063.442072955392,0.6769204792841451
